time,symbol,type,entry,exit,qty,pnl,note
2025-06-20 04:00:00+00:00,ETHUSDT,EXIT,2513.1058420000004,2550.4048919999996,0.4425617147582269,-16.507131526852476,CLOSE_BY_SIGNAL
2025-06-20 20:00:00+00:00,BTCUSDT,ENTRY_SHORT,103267.00060300001,,0.06753086233065693,0.0,bear trend short|scale=1.24|regScale=1.00|stopPct=0.0145
2025-06-21 04:00:00+00:00,BTCUSDT,EXIT,103267.00060300001,103489.53755,0.06753086233065693,-15.02811193134075,CLOSE_BY_SIGNAL
2025-06-22 00:00:00+00:00,ETHUSDT,ENTRY_SHORT,2263.900626,,0.5256241077065394,0.0,bear trend short|scale=0.52|regScale=1.00|stopPct=0.0349
2025-06-22 16:00:00+00:00,BTCUSDT,ENTRY_SHORT,98853.175148,,0.03953638356229247,0.0,bear trend short|scale=0.93|regScale=1.00|stopPct=0.0194
2025-06-22 20:00:00+00:00,BTCUSDT,STOP_SHORT,98853.175148,100830.56809839999,0.03953638356229247,-78.17896614038746,
2025-06-23 00:00:00+00:00,BTCUSDT,ENTRY_SHORT,101123.793758,,0.04013104173240072,0.0,bear trend short|scale=0.96|regScale=1.00|stopPct=0.0187
2025-06-23 12:00:00+00:00,ETHUSDT,STOP_SHORT,2263.900626,2292.1898793,0.5256241077065394,-14.869513523496739,
2025-06-23 16:00:00+00:00,ETHUSDT,ENTRY_SHORT,2312.076169,,0.3585129175023548,0.0,bear trend short|scale=0.39|regScale=1.00|stopPct=0.0461
2025-06-23 16:00:00+00:00,BTCUSDT,STOP_SHORT,101123.793758,103080.0017261,0.04013104173240072,-78.50466360507605,
2025-06-23 20:00:00+00:00,ETHUSDT,STOP_SHORT,2312.076169,2420.1178176,0.3585129175023548,-38.73432665135018,
2025-06-25 08:00:00+00:00,BTCUSDT,ENTRY_LONG,107230.179406,,0.03416474009540353,0.0,trend long|scale=0.88|regScale=1.00|stopPct=0.0228
2025-06-25 12:00:00+00:00,BTCUSDT,ENTRY_LONG,107060.1084,,0.02761375654023462,0.0,trend long|scale=1.00|regScale=0.70|stopPct=0.0179
2025-06-27 08:00:00+00:00,BTCUSDT,EXIT,107060.1084,106951.50492,0.02761375654023462,-2.998950056141982,CLOSE_BY_SIGNAL
2025-06-29 12:00:00+00:00,ETHUSDT,ENTRY_LONG,2437.4110039999996,,2.013399518623324,0.0,trend long|scale=1.29|regScale=0.70|stopPct=0.0139
2025-06-29 16:00:00+00:00,ETHUSDT,EXIT,2437.4110039999996,2437.2286120000003,2.013399518623324,-0.3672279649992434,CLOSE_BY_SIGNAL
2025-06-30 00:00:00+00:00,ETHUSDT,ENTRY_LONG,2499.959763,,1.8092381622152514,0.0,trend long|scale=1.24|regScale=0.70|stopPct=0.0145
2025-06-30 04:00:00+00:00,ETHUSDT,STOP_LONG,2499.959763,2462.2730964,1.8092381622152514,-68.18415541940222,
2025-06-30 08:00:00+00:00,ETHUSDT,ENTRY_LONG,2459.257556,,1.3249590004974754,0.0,trend long|scale=1.07|regScale=0.70|stopPct=0.0169
2025-06-30 12:00:00+00:00,BTCUSDT,STOP_LONG,107230.179406,107170.31675675,0.03416474009540353,-2.0451918530482036,
2025-06-30 16:00:00+00:00,ETHUSDT,EXIT,2459.257556,2514.955287,1.3249590004974754,73.79720999573752,CLOSE_BY_SIGNAL
2025-07-02 12:00:00+00:00,BTCUSDT,ENTRY_LONG,108770.361322,,0.08137152405201838,0.0,vol break long|scale=1.55|regScale=0.80|stopPct=0.0129
2025-07-02 16:00:00+00:00,BTCUSDT,ENTRY_LONG,109709.042842,,0.11117568443585245,0.0,vol break long|scale=1.27|regScale=1.80|stopPct=0.0141
2025-07-02 20:00:00+00:00,ETHUSDT,ENTRY_LONG,2571.181123,,0.8244632428751519,0.0,vol break long|scale=0.75|regScale=0.80|stopPct=0.0268
2025-07-04 08:00:00+00:00,BTCUSDT,EXIT,109709.042842,108855.3336,0.11117568443585245,-94.91170928856248,CLOSE_BY_SIGNAL
2025-07-04 08:00:00+00:00,ETHUSDT,ENTRY_LONG,2549.974763,,0.594289326340515,0.0,trend long|scale=0.73|regScale=0.70|stopPct=0.0246
2025-07-04 12:00:00+00:00,BTCUSDT,STOP_LONG,108770.361322,107705.45438157143,0.08137152405201838,-86.65310071624462,
2025-07-04 12:00:00+00:00,ETHUSDT,STOP_LONG,2571.181123,2510.338101142857,0.8244632428751519,-50.162835106663834,
2025-07-04 12:00:00+00:00,ETHUSDT,EXIT,2549.974763,2499.769844,0.594289326340515,-29.83624749149027,CLOSE_BY_SIGNAL
2025-07-06 12:00:00+00:00,ETHUSDT,ENTRY_LONG,2559.487616,,1.9210883020065976,0.0,trend long|scale=1.03|regScale=1.00|stopPct=0.0195
2025-07-06 12:00:00+00:00,BTCUSDT,ENTRY_LONG,108938.66179700001,,0.14302583222828222,0.0,trend long|scale=2.23|regScale=1.00|stopPct=0.0090
2025-07-07 04:00:00+00:00,BTCUSDT,ENTRY_LONG,109093.798324,,0.14361514829715777,0.0,trend long|scale=2.55|regScale=0.70|stopPct=0.0071
2025-07-07 08:00:00+00:00,ETHUSDT,ENTRY_LONG,2563.7588969999997,,1.4059287102645288,0.0,trend long|scale=1.15|regScale=0.70|stopPct=0.0157
2025-07-07 12:00:00+00:00,BTCUSDT,STOP_LONG,108938.66179700001,107975.3498172143,0.14302583222828222,-137.77849760432494,
2025-07-07 12:00:00+00:00,ETHUSDT,EXIT,2559.487616,2533.049857,1.9210883020065976,-50.78926954616948,CLOSE_BY_SIGNAL
2025-07-07 12:00:00+00:00,BTCUSDT,STOP_LONG,109093.798324,108259.4404216,0.14361514829715777,-119.82643388608241,
2025-07-07 12:00:00+00:00,ETHUSDT,EXIT,2563.7588969999997,2533.049857,1.4059287102645288,-43.17472100066145,CLOSE_BY_SIGNAL
2025-07-07 16:00:00+00:00,ETHUSDT,ENTRY_LONG,2544.733191,,1.3527727355921413,0.0,trend long|scale=0.87|regScale=1.00|stopPct=0.0230
2025-07-08 00:00:00+00:00,ETHUSDT,EXIT,2544.733191,2537.5784980000003,1.3527727355921413,-9.678673621931264,CLOSE_BY_SIGNAL
2025-07-08 04:00:00+00:00,BTCUSDT,ENTRY_LONG,108517.15538299999,,0.10434723193155185,0.0,trend long|scale=1.67|regScale=1.00|stopPct=0.0120
2025-07-08 04:00:00+00:00,ETHUSDT,ENTRY_LONG,2554.186026,,1.2473663920248026,0.0,trend long|scale=0.84|regScale=1.00|stopPct=0.0238
2025-07-08 08:00:00+00:00,ETHUSDT,ENTRY_LONG,2575.922545,,0.866555005363768,0.0,trend long|scale=0.92|regScale=0.70|stopPct=0.0196
2025-07-08 20:00:00+00:00,ETHUSDT,PYRAMID_LONG,2616.034575,,0.41071045289543184,0.0,trend long|pyramid#1
2025-07-09 12:00:00+00:00,ETHUSDT,EXIT,2575.922545,2656.032951,0.866555005363768,69.42007330102383,CLOSE_BY_SIGNAL
2025-07-09 16:00:00+00:00,ETHUSDT,PYRAMID_LONG,2765.839503,,0.31713138773012917,0.0,trend long|pyramid#2
2025-07-10 00:00:00+00:00,ETHUSDT,ENTRY_LONG,2776.962839,,0.5471385564395067,0.0,trend long|scale=0.75|regScale=0.70|stopPct=0.0240
2025-07-10 04:00:00+00:00,BTCUSDT,ENTRY_LONG,111263.36899999999,,0.09997263249002401,0.0,vol break long|scale=1.27|regScale=1.80|stopPct=0.0142
2025-07-12 04:00:00+00:00,ETHUSDT,EXIT,2776.962839,2961.961145,0.5471385564395067,101.21970608859436,CLOSE_BY_SIGNAL
2025-07-12 16:00:00+00:00,BTCUSDT,EXIT,111263.36899999999,117515.69471200001,0.09997263249002401,625.0614606137057,CLOSE_BY_SIGNAL
2025-07-14 12:00:00+00:00,BTCUSDT,STOP_LONG,108517.15538299999,120167.8734624643,0.10434723193155185,1215.7201816069862,
2025-07-17 00:00:00+00:00,ETHUSDT,ENTRY_LONG,3331.139042,,0.30378792572493124,0.0,trend long|scale=0.55|regScale=0.70|stopPct=0.0327
2025-07-19 00:00:00+00:00,ETHUSDT,EXIT,3331.139042,3591.902106,0.30378792572493124,79.21667031823756,CLOSE_BY_SIGNAL
2025-07-21 20:00:00+00:00,ETHUSDT,ENTRY_LONG,3763.458699,,0.35339125243063935,0.0,trend long|scale=0.62|regScale=0.70|stopPct=0.0288
2025-07-22 04:00:00+00:00,ETHUSDT,STOP_LONG,3763.458699,3652.8278228,0.35339125243063935,-39.095983897816964,
2025-07-22 04:00:00+00:00,ETHUSDT,EXIT,2601.0285841263817,3675.806927,1.9752082326503637,2122.9110311182862,CLOSE_BY_SIGNAL
2025-07-22 20:00:00+00:00,ETHUSDT,ENTRY_LONG,3747.333863,,0.4106310753316423,0.0,trend long|scale=0.48|regScale=1.00|stopPct=0.0419
2025-07-23 04:00:00+00:00,ETHUSDT,EXIT,3747.333863,3672.228001,0.4106310753316423,-30.840800876769883,CLOSE_BY_SIGNAL
2025-07-24 20:00:00+00:00,ETHUSDT,ENTRY_LONG,3708.052082,,0.2574385291890938,0.0,trend long|scale=0.53|regScale=0.70|stopPct=0.0338
2025-07-25 00:00:00+00:00,ETHUSDT,STOP_LONG,3708.052082,3580.4625389000003,0.2574385291890938,-32.84646431557247,
2025-07-25 04:00:00+00:00,BTCUSDT,ENTRY_LONG,115354.606003,,0.044891655991654414,0.0,chop long z=-3.34|scale=0.99|regScale=1.10|stopPct=0.0181
2025-07-27 00:00:00+00:00,BTCUSDT,EXIT,115354.606003,118147.375151,0.044891655991654414,125.37203185612209,CLOSE_BY_SIGNAL
